hp delta delta_err n nerr E Eerr
0.021213203435596427 0.007616939400723253 0.00015634947408792524 63.897232859254146 0.0 -1.6518796418049473 4.3752620626946737e-05
0.03535533905932738 0.013842266261829588 0.00027536517986197304 63.723365256337416 0.0 -1.652192235114051 4.875656776519577e-05
0.04949747468305833 0.01827747017086432 0.0002526038475887324 63.521228089769025 0.0 -1.6526415789187 5.4820973267482036e-05
0.06363961030678927 0.02219405292235648 0.00021768864429651084 63.32043584422716 0.0 -1.6531914741837492 5.742257115237238e-05
0.07778174593052023 0.025756771749340865 0.00018477239580793128 63.13523290909879 0.0 -1.6538501460790627 6.052391572254124e-05
0.09192388155425119 0.02909038780972261 0.00016436013475714002 62.9651252480443 0.0 -1.6546030103307672 6.299822011094136e-05
0.10606601717798213 0.0322667144314869 0.0001552872034530639 62.80604399282544 0.0 -1.6554441831110644 6.49278510503848e-05
0.1202081528017131 0.03528750587499377 0.00012433586449688006 62.658278007787175 0.0 -1.656390226727024 5.3473545339812744e-05
0.13435028842544405 0.04129609005933018 0.0007371660896756116 63.10455783316666 0.0 -1.6576385163974265 6.879966228780177e-05
0.14849242404917498 0.04640453008679735 0.0002114426777602152 63.04116441133555 0.0 -1.6590103242310021 9.347943023790607e-05
0.16263455967290594 0.04825643033828484 1.1041086410465417e-05 62.85912345356064 0.0 -1.6602159626289683 7.458384191366464e-05
0.16970562748477142 0.049319113160303546 3.143096064502082e-05 62.809741064549755 0.0 -1.6609182547606571 0.00010323072602147932
0.1767766952966369 0.05046669267264123 2.0982016045733437e-05 62.74821561406881 0.0 -1.6615835582873983 7.561782676965834e-05
0.19091883092036785 0.0526439930879359 1.805556312852244e-05 62.64911574482908 0.0 -1.662988806275738 7.204531874762665e-05
0.20506096654409878 0.05476895995006291 1.4594454438091042e-05 62.56158397522459 0.0 -1.6644623151677287 7.031107019827232e-05
0.21920310216782973 0.056839117994549306 1.3968402719582995e-05 62.479766487234514 0.0 -1.6660002296064154 6.990771584305833e-05
0.22627416997969524 0.05784553643532321 1.4376566851537903e-05 62.44107060841597 0.0 -1.6667821626634036 9.06363833682633e-05
0.23334523779156072 0.0588209051164874 3.4864230202772545e-05 62.40848539219202 0.0 -1.6675950066449896 6.959903394793799e-05
0.24748737341529164 0.060618467940010926 0.00013052744910447417 62.34081104955308 0.0 -1.669252629186656 7.090041716871555e-05
0.28284271247461906 0.06533822897178763 0.0006107587989343938 62.143561549544266 0.0 -1.6735653712067737 7.930297404222132e-05
