hp delta delta_err n E Eerr
0.021213203435596427 0.005495565455491948 4.703003331389113e-05 63.97971042200601 -1.7318139602706881 3.077423224262077e-05
0.03535533905932738 0.009130062441753985 7.749142105891588e-05 63.942597042334995 -1.7320172943774903 3.184029544058831e-05
0.04949747468305833 0.02755103642908877 0.005039166546281842 65.44293706279 -1.732597708660356 5.455189120112891e-05
0.06363961030678927 0.022927216493097827 0.0004043719167735934 65.33587576750901 -1.7333496001118356 8.930992039459795e-05
0.07778174593052023 0.026120893002500603 0.0002031394876599174 65.13206256334999 -1.7338027129530225 4.802411842199206e-05
0.09192388155425119 0.029242209101867873 8.836626022368232e-05 64.949584197555 -1.7345501142409314 3.5529721796265794e-05
0.10606601717798213 0.03237325511397512 0.0001409987058189656 64.794046956508 -1.7354369848422475 5.5446958171998515e-05
0.1202081528017131 0.03523809582818924 0.00012110652660712179 64.634682091592 -1.7363598509685083 5.501168595166917e-05
0.12727922061357855 0.036621633324265455 0.00011375962763368955 64.55845549753701 -1.7368520054630203 5.503260345655292e-05
0.13435028842544405 0.03797620063177486 0.00010779423954672754 64.48440302121399 -1.7373692071897087 5.625516313422452e-05
0.16970562748477142 0.04431897486060684 4.5344272363676e-05 64.133158873746 -1.7401813599161595 4.0525436244394086e-05
0.22627416997969524 0.05358454479295257 3.6135945204171516e-05 63.670375022276 -1.7455876051164647 4.1641801277947364e-05
0.28284271247461906 0.06594180839431715 0.0002564566624239581 63.552331222567 -1.7520843026044315 6.059948931380178e-05
