hp delta delta_err n E Eerr
0.021213203435596427 0.008259795903199007 0.00023277905013668323 63.917802001491 -1.651189634963805 4.776550989852524e-05
0.03535533905932738 0.013191286320187809 0.00024079835274630913 63.777385389462 -1.6515796034561319 6.925715307637859e-05
0.04949747468305833 0.026109068757158096 0.00032431982906678744 63.68162952456301 -1.6518820081869834 9.674765126419516e-05
0.06363961030678927 0.029635374353876413 0.0002248981427002538 63.586439003482994 -1.6526448662083744 9.224280613487679e-05
0.07778174593052023 0.03279503747371126 0.00015806817403732354 63.479035788598 -1.6534894368509943 8.663255554886007e-05
0.09192388155425119 0.0356987602406066 0.0001181353163181749 63.373827683399995 -1.6544257176282902 8.3314574228055e-05
0.10606601717798213 0.038412450308728155 7.069440636733176e-05 63.2603643283 -1.6554007747398138 5.616560561030326e-05
0.1202081528017131 0.041005126956587014 5.559765580168477e-05 63.158146915537 -1.6564921064449145 5.4603243472897136e-05
0.13435028842544405 0.0401204603765498 8.800214122076447e-05 62.732175930623995 -1.6575230482440038 6.216528568074864e-05
0.14849242404917498 0.04155868497131341 0.000267965554840998 62.428900043898 -1.6585296133001985 6.23353389847381e-05
0.16263455967290594 0.04533746399003253 0.000470970223547678 62.31184213326 -1.6597196908087646 6.55672612754188e-05
0.1767766952966369 0.051059242791597084 0.0009840304626584778 62.267911093085 -1.6610292703916816 6.98038274088475e-05
0.19091883092036785 0.05459408109239507 0.00042975695606933123 62.29855380687199 -1.6624687865444254 7.265110756009109e-05
0.20506096654409878 0.05684021148710987 1.201044897743836e-05 62.29571691657499 -1.663981141522817 6.964146353091394e-05
0.21920310216782973 0.05927036319457311 7.878605662177407e-05 62.274001098401 -1.6655645428074006 6.538173344260656e-05
0.23334523779156072 0.06154719942923974 9.21401735205149e-05 62.241089241842005 -1.6672233804581182 6.279090276613886e-05
0.24748737341529164 0.06366343962227493 9.708981965484559e-05 62.202831898371 -1.6689495754192716 6.085862835185197e-05
0.28284271247461906 0.03387387803251281 0.01693693901625641 62.113547698393 -0.8360650687721748 0.16721301375443504
