hp delta delta_err n E Eerr
0.021213203435596427 0.01968356638497936 0 63.867594385119006 -1.6507412735765616 0.00011938277171729796
0.03535533905932738 0.02393118610154917 0 63.775522376942995 -1.6512424919117723 0.00010640085841195912
0.04949747468305833 0.01626096404191032 0 63.600083915432 -1.6519457541783702 6.015961638404122e-05
0.06363961030678927 0.020322636080098714 0 63.399464283596 -1.6524596306239743 4.487986568484815e-05
0.07778174593052023 0.02405988703901346 0 63.236405477553 -1.6531536750021503 6.972559550753489e-05
0.09192388155425119 0.027662926527813332 0 63.057096912662004 -1.6538928131076596 7.191900912189909e-05
0.10606601717798213 0.03166734150418526 0 62.908256999403996 -1.6547162161087425 7.317567624347988e-05
0.1202081528017131 0.03595090841929211 0 62.874754271961 -1.6556271637431401 5.55371057305365e-05
0.13435028842544405 0.03647979458568077 0 62.92682105039199 -1.6569592052697577 0.00012149011676903855
0.14849242404917498 0.03939137985374487 0 62.955776424285006 -1.6583621933500077 0.00015956686541905186
0.16263455967290594 0.044015860990230964 0 62.895431548643 -1.6595932384613032 0.00014622363142315466
0.1767766952966369 0.04904817176650385 0 62.579906747705 -1.6605550228522634 9.499630201517561e-05
0.19091883092036785 0.049046584883053204 0 62.289880822489 -1.6619670833007358 9.363401953713435e-05
0.20506096654409878 0.05067060083198333 0 62.129661816959 -1.6633995206253875 9.004291014498733e-05
0.21920310216782973 0.05273362051358077 0 62.010682044153 -1.6648685508720682 8.91596788011384e-05
0.23334523779156072 0.05488411090912244 0 61.910991461992 -1.6663909108741375 8.945126863252995e-05
0.24748737341529164 0.05703838252015832 0 61.839480868271 -1.6679957232035072 9.316062090647392e-05
