0.250  3.329523809523809302e-02 4.443609343716893763e-03
0.167  3.513235294117647567e-02 1.764787062723303847e-03
0.125  3.683200000000000363e-02 3.145939541694977443e-03
0.083  4.005899999999999739e-02 1.963778984509204420e-03
0.063  3.819499999999999978e-02 1.420709505845582903e-03
