x  y  hole  sz
1 1 0.024294070957999958 0.363350996615
1 2 0.024330730957000002 -0.363270198588
1 3 0.024255873250999982 0.363405950842
1 4 0.024112249029999977 -0.363697066104
1 5 0.02406257996700001 0.363874474809
1 6 0.024197388900999983 -0.363643643765
2 1 0.08157042037700002 -0.246747773586
2 2 0.08172620737799996 0.246561432208
2 3 0.08162170927000001 -0.246690860042
2 4 0.08137369097299996 0.247071880254
2 5 0.081359792993 -0.247155890403
2 6 0.08152278148400005 0.246950326049
3 1 0.149615340296 0.137608036382
3 2 0.14992549552900003 -0.137453918976
3 3 0.14991517925599995 0.137184147927
3 4 0.14985586403899998 -0.137151116153
3 5 0.14993620124200002 0.136840992635
3 6 0.14975072545300006 -0.137176988999
4 1 0.17744044617200005 -0.085907488038
4 2 0.177868650846 0.0857011254982
4 3 0.17792128842800004 -0.0854726296592
4 4 0.178037824156 0.0853601939046
4 5 0.17817174239400002 -0.085132416722
4 6 0.177692410699 0.0856813042947
5 1 0.14977904239499995 0.118124456865
5 2 0.15017908935699997 -0.117563537176
5 3 0.15020876950600004 0.117815211451
5 4 0.15036789261600003 -0.117981125401
5 5 0.15046776740400003 0.118253045085
5 6 0.149954760209 -0.118681031588
6 1 0.11334416928699997 -0.163123786408
6 2 0.11360933418200003 0.162674697234
6 3 0.11362004470200004 -0.162820033518
6 4 0.11362403142300004 0.163006639531
6 5 0.11360676032600003 -0.163156486769
6 6 0.11332913872100003 0.163488981
7 1 0.13019448533 0.144999092617
7 2 0.13066992851000003 -0.144540008138
7 3 0.13047198334599996 0.144574430029
7 4 0.13017392057099997 -0.144644496526
7 5 0.12997309898200005 0.144738392017
7 6 0.12974814571799997 -0.145124930343
8 1 0.17114043328100004 -0.0957097840282
8 2 0.171732608311 0.0951949188159
8 3 0.17158112956000005 -0.09519809157
8 4 0.17140754690500004 0.0953643978349
8 5 0.17137520895199998 -0.0952838705552
8 6 0.170906972399 0.095845719053
9 1 0.17124006870099995 0.0952473543148
9 2 0.17167860749700004 -0.0948182140306
9 3 0.17169926309500005 0.09496234236
9 4 0.17185798655100004 -0.0949281168491
9 5 0.172024976552 0.0949561908701
9 6 0.17142770557499998 -0.0955714812116
10 1 0.13028385012099997 -0.144418077606
10 2 0.13049390000799999 0.143987518814
10 3 0.130621159413 -0.144119051472
10 4 0.130937787729 0.144003851798
10 5 0.13109963102900002 -0.144160919272
10 6 0.13064567524100001 0.144561129921
11 1 0.11344779212599998 0.163230604249
11 2 0.11370414420700004 -0.162931680755
11 3 0.11369479125899995 0.162884037824
11 4 0.11367734409899999 -0.162745755448
11 5 0.11364108459 0.162696889617
11 6 0.11335945464899999 -0.163170003935
12 1 0.14984099793500005 -0.118678720261
12 2 0.15034273099999995 0.11830866267
12 3 0.150228146066 -0.118128443166
12 4 0.150046214977 0.118058827844
12 5 0.149986794754 -0.117918222749
12 6 0.149540574491 0.118565754032
13 1 0.17782602658900004 0.0853643749674
13 2 0.17830995453200005 -0.0849088233031
13 3 0.17816657110099998 0.0852091582421
13 4 0.17805377997299998 -0.085420778963
13 5 0.17800501132799995 0.0857009892143
13 6 0.17758497438999998 -0.0859581511027
14 1 0.15024087826700006 -0.13647618802
14 2 0.15040387625600005 0.136183324613
14 3 0.15026211870600004 -0.136695050138
14 4 0.15033804094500003 0.136711436159
14 5 0.150331207362 -0.137081546126
14 6 0.15005750640299997 0.137156072619
15 1 0.08193068708899998 0.246460206126
15 2 0.08173718441699995 -0.246725684165
15 3 0.08175764508500005 0.246646671788
15 4 0.08200170694999998 -0.246283560291
15 5 0.08215126672999995 0.246075908013
15 6 0.08200324167700002 -0.246237246898
16 1 0.024366812455000053 -0.363480860263
16 2 0.024230713718999985 0.363708982886
16 3 0.024274903225000033 -0.36353854527
16 4 0.02442534009499997 0.363237514063
16 5 0.02450211270699998 -0.363101401377
16 6 0.024470776106999992 0.363174004552
