x  y  hole  sz
1 1 0.04439422026899997 0.328491778475
1 2 0.04439314593499999 -0.328497177893
1 3 0.04439289025100002 0.328492384985
1 4 0.04439277093500005 -0.328496281706
2 1 0.11334056265600001 -0.181933016873
2 2 0.113340971048 0.181941555154
2 3 0.11334378845899995 -0.181927003817
2 4 0.11334298464500003 0.181937147067
3 1 0.14998814579599995 0.116784917755
3 2 0.14999079030200002 -0.116795593114
3 3 0.150001359647 0.116766423867
3 4 0.149998815623 -0.116787155978
4 1 0.14043440022800002 -0.111532086773
4 2 0.140440401045 0.111545348141
4 3 0.14045612013099995 -0.111509135907
4 4 0.140453421523 0.111530013971
5 1 0.12899241019399998 0.11666116151
5 2 0.12899942625100003 -0.116675745779
5 3 0.12900927487299996 0.116653193626
5 4 0.129002111117 -0.11667870886
6 1 0.141815537795 -0.101222195057
6 2 0.14182333647199996 0.101233863264
6 3 0.141825496098 -0.101224215982
6 4 0.14181424619000005 0.101247172069
7 1 0.14679067013900005 0.0949872625213
7 2 0.146800149027 -0.0949925168386
7 3 0.14680480518500005 0.0949813985382
7 4 0.14679367297400003 -0.094996567452
8 1 0.134183878928 -0.104345051357
8 2 0.13419367512900005 0.104347173399
8 3 0.134196795784 -0.10434022893
8 4 0.13418523880199995 0.104355789398
9 1 0.13419010424300004 0.104341176023
9 2 0.13419904076699996 -0.104335137318
9 3 0.13419134328799998 0.104357066734
9 4 0.13417844576299998 -0.10436485683
10 1 0.14679708581200002 -0.0949877330882
10 2 0.146806226378 0.094980572833
10 3 0.146798530591 -0.0950041219227
10 4 0.14678677713699995 0.0950065379404
11 1 0.141816082871 0.101241826228
11 2 0.141824747187 -0.101227261002
11 3 0.14181931845600004 0.10124908352
11 4 0.14180934137400003 -0.101245435156
12 1 0.12900062680199997 -0.11668289311
12 2 0.12900485465800005 0.116666610267
12 3 0.128990860168 -0.116702764236
12 4 0.128981208191 0.116696845148
13 1 0.14045150770500003 0.111543388323
13 2 0.14045378143599996 -0.111527407206
13 3 0.14043701818700005 0.11156937573
13 4 0.14043067239899998 -0.111558835392
14 1 0.149998846894 -0.116800241695
14 2 0.15000128736899998 0.116779409338
14 3 0.14999026337300003 -0.116808699363
14 4 0.14998740969299995 0.116795716031
15 1 0.11333983803000003 0.181946890932
15 2 0.11334101177099998 -0.181933240791
15 3 0.11333886308399999 0.181944415975
15 4 0.11333859900099996 -0.181935731276
16 1 0.04439160674300002 -0.32849789291
16 2 0.044391799686000044 0.32849377643
16 3 0.04439195099899995 -0.328498813415
16 4 0.044393117257000014 0.328493181002
