7.069999999999999896e-03 7.433711864406772687e-03 2.311729227429783554e-03
1.413999999999999979e-02 1.198015254237286102e-02 1.613731046515668247e-03
2.120999999999999969e-02 1.627042372881354337e-02 1.379067987999752637e-03
2.827999999999999958e-02 2.064679661016945861e-02 1.456040260247610163e-03
3.536000000000000254e-02 2.337720338983046570e-02 1.470460555769303014e-03
4.243000000000000244e-02 2.656886440677964922e-02 1.812749904274903439e-03
4.950000000000000233e-02 2.806079661016945559e-02 1.941971539730455226e-03
5.657000000000000223e-02 2.965566101694911555e-02 2.204875563133010079e-03
6.364000000000000212e-02 3.017269491525419872e-02 1.983645100827166087e-03
7.070999999999999508e-02 3.094408474576266360e-02 2.405099160455680379e-03
7.778000000000000191e-02 3.257791525423725520e-02 1.919505508470996597e-03
