 -0.35763  -0.35168  -0.35535  -0.34815  -0.35107  -0.34992
 -0.23597  -0.22685  -0.23790  -0.22692  -0.24212  -0.23370
 -0.08629  -0.08263  -0.08563  -0.08504  -0.08867  -0.07079
  0.07505   0.06667   0.06315   0.08473   0.07274   0.07008
  0.20363   0.19493   0.18536   0.19188   0.19453   0.18620
  0.23167   0.22273   0.23787   0.23376   0.23379   0.24106
  0.19068   0.18814   0.18437   0.18269   0.19348   0.19109
  0.07648   0.06633   0.06149   0.07643   0.07307   0.07650
 -0.08369  -0.07349  -0.08962  -0.06521  -0.07209  -0.07391
 -0.19639  -0.18668  -0.17819  -0.19143  -0.19476  -0.19440
 -0.22511  -0.22860  -0.23024  -0.23473  -0.23205  -0.23753
 -0.18857  -0.17809  -0.18997  -0.18633  -0.18728  -0.19048
 -0.07620  -0.08273  -0.07065  -0.06601  -0.08450  -0.06182
  0.07306   0.07213   0.08131   0.08473   0.09426   0.08931
  0.23371   0.22374   0.23474   0.23416   0.23940   0.24122
  0.35182   0.35163   0.35377   0.35380   0.34584   0.34991
