 -0.36130  -0.36383  -0.35289  -0.35608  -0.35035  -0.34677  -0.36273  -0.36975
 -0.24126  -0.25676  -0.23519  -0.24439  -0.25005  -0.22989  -0.23416  -0.24600
 -0.13572  -0.16177  -0.10223  -0.10982  -0.12934  -0.09266  -0.10212  -0.12889
 -0.03305  -0.04786   0.03539   0.07388   0.01964   0.00430   0.04829   0.02859
  0.14411   0.12045   0.13969   0.16154   0.14857   0.15845   0.13544   0.14171
  0.21650   0.20927   0.19169   0.19049   0.18511   0.19028   0.20991   0.20203
  0.17168   0.16606   0.16633   0.11119   0.08249   0.11007   0.13669   0.16774
  0.04481   0.03593   0.05561   0.04534   0.00305  -0.01620   0.02862   0.05894
 -0.06193  -0.06104  -0.07383  -0.07357  -0.04173  -0.06608  -0.07048  -0.09088
 -0.16572  -0.18112  -0.16984  -0.16036  -0.12575  -0.12158  -0.16506  -0.20446
 -0.20754  -0.21496  -0.18933  -0.20843  -0.20542  -0.19593  -0.19391  -0.20799
 -0.11198  -0.12203  -0.09900  -0.14431  -0.16439  -0.15862  -0.13861  -0.09258
  0.06197   0.03771  -0.00911  -0.02447  -0.02061  -0.01001  -0.03945   0.00769
  0.15508   0.14073   0.13906   0.13143   0.12571   0.13438   0.10812   0.12539
  0.24624   0.25171   0.25074   0.24564   0.25103   0.26212   0.25342   0.24147
  0.35033   0.35061   0.35043   0.35644   0.34950   0.35762   0.35268   0.34825
