 -0.34449  -0.34696  -0.35032  -0.35751
 -0.16740  -0.17439  -0.16337  -0.17367
  0.03960   0.03125   0.03763   0.03462
  0.19760   0.19151   0.20539   0.20503
  0.23603   0.23152   0.24176   0.24988
  0.13894   0.13664   0.13782   0.14610
 -0.03741  -0.05213  -0.05777  -0.05218
 -0.18094  -0.18482  -0.19120  -0.18996
 -0.20266  -0.21062  -0.20077  -0.19424
 -0.10844  -0.09622  -0.09920  -0.10630
  0.07027   0.07226   0.07858   0.08064
  0.20404   0.19375   0.19532   0.19243
  0.18681   0.19376   0.18394   0.18918
  0.07014   0.07616   0.06621   0.06457
 -0.11807  -0.10648  -0.09559  -0.10820
 -0.21503  -0.22342  -0.21624  -0.21352
 -0.18144  -0.18318  -0.17979  -0.18094
 -0.06395  -0.03223  -0.04849  -0.06153
  0.12349   0.13779   0.13110   0.13194
  0.22411   0.23088   0.23101   0.23625
  0.20071   0.20442   0.20418   0.20177
  0.04550   0.05568   0.02683   0.03054
 -0.18569  -0.17174  -0.16949  -0.16666
 -0.35627  -0.35728  -0.35434  -0.35053

