  0.04120   0.04457   0.04843   0.04461   0.02673   0.03606   0.03854   0.05216
  0.09248   0.10826   0.11268   0.09838   0.08506   0.09963   0.09571   0.10390
  0.12565   0.13456   0.13744   0.14671   0.14162   0.12358   0.15083   0.15367
  0.15078   0.15595   0.15403   0.16277   0.17635   0.16757   0.17043   0.16325
  0.14917   0.14841   0.14543   0.13986   0.14307   0.15010   0.12464   0.13649
  0.11212   0.13223   0.13822   0.14081   0.11536   0.11889   0.10504   0.10858
  0.11209   0.11421   0.11939   0.10974   0.10773   0.12595   0.10597   0.10578
  0.13421   0.13295   0.13029   0.12523   0.12550   0.12576   0.13278   0.13831
  0.13852   0.15797   0.16222   0.15630   0.14355   0.14927   0.14499   0.15378
  0.15383   0.14790   0.14589   0.16313   0.16564   0.13832   0.14831   0.15854
  0.14065   0.11929   0.12968   0.15109   0.14362   0.12170   0.13206   0.13697
  0.10554   0.10761   0.11474   0.11952   0.10937   0.10088   0.11181   0.11581
  0.11695   0.11161   0.12758   0.13168   0.13134   0.11225   0.11558   0.11511
  0.13837   0.14627   0.13153   0.14710   0.14275   0.14737   0.15268   0.15070
  0.15013   0.16512   0.16668   0.17097   0.17188   0.13863   0.13503   0.16179
  0.14552   0.13679   0.15122   0.14470   0.16407   0.13660   0.13244   0.13058
  0.13174   0.11583   0.11944   0.11791   0.12159   0.12546   0.12458   0.11138
  0.11678   0.10953   0.10303   0.10725   0.10194   0.10421   0.10733   0.11096
  0.10875   0.11675   0.10952   0.12259   0.10719   0.11668   0.12457   0.11147
  0.16178   0.13965   0.15007   0.15000   0.15623   0.14934   0.15105   0.13975
  0.17822   0.16188   0.18925   0.16792   0.18737   0.17018   0.17057   0.14697
  0.14393   0.15269   0.14308   0.12136   0.12538   0.16053   0.13513   0.14591
  0.09162   0.10730   0.09040   0.08573   0.08701   0.09332   0.07629   0.08394
  0.03814   0.04338   0.05007   0.04249   0.04342   0.04410   0.03965   0.03097
