7.069999999999999896e-03 6.651999999999999927e-03 1.721573292079079352e-03
1.413999999999999979e-02 1.157599999999999948e-02 1.244743507715545365e-03
2.120999999999999969e-02 1.441300000000000046e-02 1.444148918913835565e-03
2.827999999999999958e-02 1.794499999999999915e-02 1.540079705729544435e-03
3.536000000000000254e-02 2.053900000000000170e-02 1.504814241027775581e-03
4.243000000000000244e-02 2.274999999999999939e-02 1.771804729647147043e-03
4.950000000000000233e-02 2.547599999999999518e-02 1.601034165781605118e-03
5.657000000000000223e-02 2.841199999999999976e-02 1.573235710248149441e-03
6.364000000000000212e-02 3.015400000000000025e-02 1.433740353062575674e-03
7.070999999999999508e-02 3.208600000000000341e-02 1.408948686077672466e-03
7.778000000000000191e-02 3.405899999999999900e-02 1.719577244557510222e-03
8.484999999999999487e-02 3.583299999999999680e-02 2.152746640921778410e-03
9.192000000000000171e-02 3.721000000000000002e-02 1.865463213252944097e-03
9.898999999999999466e-02 3.892299999999999927e-02 1.903359162113130512e-03
1.060699999999999976e-01 3.986399999999998972e-02 1.650006484835741302e-03
1.131400000000000045e-01 4.072900000000000131e-02 1.146792003808885492e-03
1.202099999999999974e-01 4.078099999999999781e-02 9.950542196282574116e-04
1.272800000000000042e-01 4.118299999999999739e-02 1.071204975716599176e-03
1.343499999999999972e-01 4.280899999999999983e-02 1.140180643582410858e-03
1.414199999999999902e-01 4.367999999999999661e-02 1.102498072560673765e-03
