  0.06422   0.05989   0.06161   0.05711   0.05809   0.06594
  0.13319   0.12777   0.11593   0.12560   0.12200   0.12548
  0.15807   0.15210   0.15685   0.15823   0.17055   0.16113
  0.14953   0.13991   0.15573   0.15245   0.15087   0.14464
  0.11401   0.12149   0.12770   0.11927   0.12156   0.12235
  0.10254   0.10905   0.10527   0.10576   0.10533   0.11223
  0.12119   0.11834   0.12387   0.12491   0.12433   0.12161
  0.16183   0.16472   0.14462   0.14679   0.14920   0.14715
  0.14229   0.15775   0.14443   0.15524   0.14859   0.15072
  0.11824   0.11665   0.11059   0.12677   0.12167   0.11276
  0.10597   0.11364   0.10293   0.10353   0.10528   0.09647
  0.10283   0.11238   0.11566   0.11305   0.10717   0.10131
  0.13130   0.13955   0.13467   0.13242   0.13730   0.14242
  0.14541   0.14056   0.15067   0.14755   0.14932   0.15329
  0.13063   0.13690   0.12990   0.13607   0.14099   0.12952
  0.10231   0.10072   0.10883   0.11665   0.10945   0.11335
  0.10728   0.10778   0.10934   0.11488   0.11293   0.11501
  0.12984   0.13483   0.12960   0.13328   0.13162   0.13823
  0.14888   0.13903   0.15027   0.13834   0.16923   0.14917
  0.13648   0.13607   0.13322   0.14151   0.12646   0.13559
  0.11461   0.11132   0.11796   0.12222   0.10389   0.11535
  0.11274   0.09962   0.10697   0.11121   0.11352   0.11458
  0.13414   0.13694   0.12837   0.12133   0.12356   0.12506
  0.15434   0.14801   0.13944   0.15131   0.14753   0.15085
  0.14247   0.14816   0.13908   0.13137   0.13488   0.14186
  0.12005   0.12204   0.11010   0.10607   0.11304   0.12769
  0.09851   0.10053   0.10814   0.09740   0.10282   0.10523
  0.12765   0.12392   0.11389   0.11647   0.12000   0.12211
  0.14823   0.13835   0.15158   0.14840   0.14693   0.14861
  0.15457   0.15637   0.15742   0.15733   0.15708   0.15056
  0.12612   0.13042   0.11703   0.13157   0.12565   0.11711
  0.06226   0.06035   0.05625   0.06388   0.06226   0.05668
