  0.06369   0.06630   0.06563   0.06234
  0.12934   0.13024   0.12698   0.12866
  0.15505   0.15688   0.15338   0.15396
  0.12693   0.12343   0.12037   0.11967
  0.11171   0.10836   0.11060   0.10627
  0.13597   0.13441   0.13728   0.13739
  0.14632   0.14950   0.14505   0.14204
  0.12053   0.12159   0.12156   0.11778
  0.11558   0.11481   0.11816   0.11282
  0.14350   0.13996   0.14082   0.13837
  0.15015   0.14319   0.14212   0.14089
  0.12403   0.11894   0.11701   0.12424
  0.11665   0.11869   0.12466   0.11709
  0.14360   0.13513   0.14329   0.14566
  0.13566   0.13776   0.14245   0.13294
  0.11312   0.11252   0.11408   0.11394
  0.11538   0.11756   0.11773   0.12071
  0.14207   0.14781   0.14612   0.14272
  0.14249   0.13751   0.13885   0.13341
  0.10605   0.10543   0.11147   0.10426
  0.12279   0.12509   0.11945   0.12638
  0.15011   0.15282   0.15595   0.15942
  0.13063   0.13440   0.13651   0.13233
  0.06742   0.06567   0.06312   0.06726
