 -0.35279  -0.34712  -0.35177  -0.35183
 -0.16864  -0.16503  -0.17067  -0.16508
  0.04074   0.04194   0.04257   0.04999
  0.20830   0.20930   0.20397   0.20320
  0.23159   0.23281   0.23417   0.23515
  0.11540   0.11930   0.11197   0.11782
 -0.07504  -0.07767  -0.08359  -0.07434
 -0.20448  -0.21514  -0.21403  -0.20674
 -0.20451  -0.21027  -0.21739  -0.21351
 -0.07152  -0.07665  -0.07055  -0.07138
  0.11448   0.10891   0.10427   0.10829
  0.21892   0.21590   0.22402   0.22278
  0.20827   0.19769   0.20783   0.20252
  0.04876   0.05218   0.05040   0.03864
 -0.16430  -0.16237  -0.15892  -0.15542
 -0.35105  -0.34266  -0.34911  -0.34560
